,teamName,teamId,year,offense,defense
0,Arizona,0,2022,8.368354041423911,6.015276826744306
1,Arizona,0,2023,8.492754130825164,5.906985812756188
2,Atlanta,1,2022,9.373202590411239,5.1254121835056985
3,Atlanta,1,2023,8.294615639645647,6.434908805443871
4,Baltimore,2,2022,8.835135684689416,6.921288371247619
5,Baltimore,2,2023,8.991052326596831,8.32460564169367
6,Buffalo,3,2022,9.380604913768535,7.2649236334884835
7,Buffalo,3,2023,9.759131330956036,6.243461487007772
8,Carolina,4,2022,8.605577967066376,6.092560626673187
9,Carolina,4,2023,7.174139628957248,7.11839453716282
10,Chicago,5,2022,8.282759170458975,6.120306793752013
11,Chicago,5,2023,8.458170916003471,6.73415754115752
12,Cleveland,6,2022,8.95026822127744,6.468969402651727
13,Cleveland,6,2023,9.037291445966957,6.413149276692241
14,Cincinnati,7,2022,9.601804897727169,6.692864377481356
15,Cincinnati,7,2023,8.99678061292927,6.46122890140794
16,Dallas,8,2022,9.830735127802292,6.716645037391412
17,Dallas,8,2023,8.841545735758878,7.694094760427121
18,Denver,9,2022,7.630235852276591,7.2337086294120185
19,Denver,9,2023,8.687325763058954,6.084927361333063
20,Detroit,10,2022,9.976602723089767,5.184854563579303
21,Detroit,10,2023,10.323227671227814,5.282234046145801
22,Green Bay,11,2022,9.084264255134785,6.158789419940022
23,Green Bay,11,2023,9.526893500998515,6.100107623856836
24,Indianapolis,12,2022,7.495154410151498,6.876105823014443
25,Indianapolis,12,2023,9.535324789291248,5.276977478541594
26,Jacksonville,13,2022,8.884688459794667,6.724872676188062
27,Jacksonville,13,2023,8.506449701996296,7.155802944903966
28,Kansas City,14,2022,10.698392967818409,4.878012377642947
29,Kansas City,14,2023,8.423624192698698,8.044938294180522
30,Miami,15,2022,10.229587277729378,4.931268489469429
31,Miami,15,2023,9.517307153672524,6.106047913876668
32,Minnesota,16,2022,9.64725566176962,5.127534045032175
33,Minnesota,16,2023,8.646876353763934,6.723432370062241
34,New England,17,2022,8.127524732042277,7.695868433344213
35,New England,17,2023,6.885171057005677,7.730330862669066
36,New Orleans,18,2022,8.413167640433814,6.969863564842531
37,New Orleans,18,2023,8.784932479687479,6.981639899045045
38,New York Giants,19,2022,8.340332843305232,6.7694167154378135
39,New York Giants,19,2023,7.052162164744449,7.468922369981902
40,New York Jets,20,2022,7.573065019427321,8.223479952756744
41,New York Jets,20,2023,6.9569984800884015,7.997456347169862
42,Philadelphia,22,2022,9.780882135428897,6.403565580308399
43,Philadelphia,22,2023,9.930235027569907,4.722148754768754
44,Pittsburgh,23,2022,7.95727371237696,7.513422982639883
45,Pittsburgh,23,2023,7.892479615269483,7.74969828921095
46,Los Angeles Chargers,24,2022,9.089877545456758,6.029739777060224
47,Los Angeles Chargers,24,2023,8.798200671796868,6.194868036142064
48,San Francisco,25,2022,8.32472385385623,8.254249266113929
49,San Francisco,25,2023,9.216798499092206,7.706753819335254
50,Seattle,26,2022,9.635534615569588,5.218969870188149
51,Seattle,26,2023,8.951820881665226,6.025516066399091
52,Los Angeles Rams,27,2022,7.734896277303771,7.244086799320936
53,Los Angeles Rams,27,2023,9.1853135385142,6.434275737163846
54,Tampa Bay,28,2022,8.073732388786869,7.2821554668285415
55,Tampa Bay,28,2023,8.239991573544001,7.646938356703674
56,Tennessee,29,2022,7.907838661421053,7.099397960199545
57,Tennessee,29,2023,8.1600843221116,6.821654516629781
58,Washington,30,2022,7.899170034074753,7.468099575481877
59,Washington,30,2023,8.229570850984462,5.305247130496929
60,Houston,31,2022,7.5651897141014475,6.748865446155024
61,Houston,31,2023,8.86646061095533,6.645029716932287
62,Las Vegas,33,2022,10.060592362080376,4.508693660329848
63,Las Vegas,33,2023,8.099046892809866,7.3860753382038515
